k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.71,0.16,0.8871838632580928,0.16138669613152554,0.9017432411245475,0.8131408729138039,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.7094315905989718,0.16397250834858573,0.886038577019714,0.16546625623036668,0.9013564455408376,0.812443441918013,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.7077371244680134,0.16791990122036074,0.8826353990813169,0.16952543727766758,0.8987681133616279,0.80778412159562,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.7049486387848986,0.17181722192664525,0.8770704091924971,0.17353856374880913,0.8940738983938038,0.7993681357890938,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.70111870486179,0.17563983035111136,0.8694974434819694,0.1774801406715787,0.8874260558235171,0.787525004554484,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6963192135207752,0.17936355873253207,0.8601194544568982,0.18132501392481248,0.8790245938596175,0.7726842366100655,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6906397167716933,0.1829648644611489,0.8491778520490817,0.18504853183777883,0.8691064282042847,0.7553459835460096,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6841853666719592,0.186420978922631,0.8369409129448826,0.1886267072048362,0.8579336375454413,0.7360501264319526,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6770745021463835,0.18971005144858555,0.8236922734333244,0.1920363786919584,0.8457818466099161,0.7153469320548795,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.6694359431691659,0.19281128746351878,0.8097203156598407,0.1952553704699027,0.8329295584199249,0.6937716492896111,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.6614060588442134,0.1957050799548375,0.7953089852501652,0.1982626487705325,0.8196489857964536,0.671824459917155,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.6531256813852067,0.1983731334346954,0.7807303035408228,0.2010384739362045,0.8061986571990452,0.6499562748695435,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6447369416569289,0.20079857960995806,0.7662386060224629,0.20356454642559124,0.7928178390530222,0.6285601259207038,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6363801037033502,0.20296608402898306,0.7520663731547631,0.205824145161018,0.7797226483573652,0.6079674083614233,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.628190475512639,0.2048619430309606,0.7384214236133053,0.20780225655985346,0.7671036283856749,0.5884479766824676,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.6202954711603557,0.20647417038486937,0.7254852033092777,0.2094856925919957,0.7551245166338145,0.570213035621452,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.6128118954839835,0.20779257307028803,0.7134119101996367,0.21086319625163455,0.743921932159652,0.5534198411481498,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.6058435166764133,0.20880881572095256,0.7023282284127038,0.21192553292677324,0.7336057333006769,0.5381773719316238,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.5994789847895214,0.2095164733236251,0.6923334915617296,0.21266556629456723,0.7242598336408312,0.5245523066254445,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.59379014529913,0.20991107183909666,0.6835001441168203,0.21307831756198162,0.7159433053131782,0.5125748164227587,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5888307868232768,0.2099901164885033,0.6758744149253653,0.21316100710462638,0.7086916393612693,0.5022438397005634,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.5846358510613773,0.20975310752612136,0.6694771550738948,0.2129130778246146,0.7025180708526907,0.49353163987458615,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.5812211213112851,0.20920154339892105,0.664304822156294,0.21233619984161975,0.6974149112997842,0.4863875585032858,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.578583393820384,0.20833891127290186,0.6603306149491273,0.21143425643922642,0.6933548628480953,0.48074096583510106,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.5767011240413196,0.20717066498610673,0.6575057775260872,0.21021331149954928,0.6902923176537539,0.47650348381179103,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.5755355279004493,0.20570419056770173,0.6557611012276632,0.2086815589611312,0.6881646713787083,0.47357061493376557,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,0.5750321067494096,0.20394875954112168,0.6550086577558394,0.20684925511706012,0.686893700711827,0.47182295607758895,ROAM
27,27.0,28.0,0.0,1.0,1.0,1.0,0.5751225540458501,0.20191547030651386,0.6551437977229944,0.20472863482195913,0.6863870698162742,0.4711272096109708,ROAM
28,28.0,29.0,0.0,1.0,1.0,1.0,0.5757269922661543,0.1996171779730787,0.6560474464818146,0.20233381288967592,0.6865400380704564,0.4713372238737837,ROAM
29,29.0,30.0,0.0,1.0,1.0,1.0,0.576756480331216,0.1970684130849309,0.6575887227258361,0.19968067213197238,0.6872374401029624,0.4722952990792728,ROAM
30,30.0,31.0,0.0,1.0,1.0,1.0,0.578115725132925,0.1942852897543207,0.6596278945238634,0.19678673960859117,0.6883559980996494,0.4738339801197646,ROAM
31,31.0,32.0,0.0,1.0,1.0,1.0,0.5797059257520768,0.191285403783028,0.6620196713537417,0.19367105272962967,0.6897670055349989,0.47577852192471926,ROAM
32,32.0,33.0,0.0,1.0,1.0,1.0,0.5814276757831367,0.18808772141603855,0.6646168087871608,0.1903540168735182,0.6913393915164339,0.477950154262313,ROAM
33,33.0,34.0,0.0,1.0,1.0,1.0,0.5831838479067276,0.18471245943083614,0.6672739748719038,0.1868572561616878,0.6929431374374269,0.4801701917216247,ROAM
34,34.0,35.0,0.0,1.0,1.0,1.0,0.5848823855078352,0.18118095732042638,0.6698517951690909,0.18320345896972764,0.6944529752760271,0.4822649348697263,ROAM
35,35.0,36.0,0.0,1.0,1.0,1.0,0.5864389287086232,0.17751554237819123,0.6722209594002719,0.17941621966141932,0.6957522534168442,0.48407119813461663,ROAM
36,36.0,37.0,0.0,1.0,1.0,1.0,0.5877792066030957,0.17373938853755128,0.67426624068554,0.17551987791441967,0.6967368160728291,0.4854421908713033,ROAM
37,37.0,38.0,0.0,1.0,1.0,1.0,0.5888411336335679,0.16987636985889765,0.6758902533616287,0.17153935687288777,0.6973187115986567,0.4862533855456105,ROAM
38,38.0,39.0,0.0,1.0,1.0,1.0,0.589576555779094,0.16595090959009526,0.6770167625529656,0.16750000122133135,0.6974295284735545,0.48640794718684466,ROAM
39,39.0,40.0,0.0,1.0,1.0,1.0,0.5899526013368027,0.1619878257548463,0.6775933623889485,0.16342741613319697,0.6970231596565024,0.48584128509753405,ROAM
40,40.0,41.0,0.0,1.0,1.0,1.0,0.5899526013368027,0.1580121742451537,0.6775933623889485,0.159347307914206,0.6960778184176434,0.4845243292930657,ROAM
41,41.0,42.0,0.0,1.0,1.0,1.0,0.589576555779094,0.1540490904099048,0.6770167625529656,0.15528532703995213,0.6945971707195499,0.4824652295716035,ROAM
42,42.0,43.0,0.0,1.0,1.0,1.0,0.5888411336335679,0.15012363014110236,0.6758902533616287,0.1512669141842828,0.6926105066457494,0.4797093139160817,ROAM
43,43.0,44.0,0.0,1.0,1.0,1.0,0.5877792066030957,0.14626061146244873,0.67426624068554,0.1473171497524813,0.6901719394030776,0.4763373059394055,ROAM
44,44.0,45.0,0.0,1.0,1.0,1.0,0.5864389287086232,0.14248445762180884,0.6722209594002719,0.14346060737274824,0.687358686658414,0.4724619641247798,ROAM
45,45.0,46.0,0.0,1.0,1.0,1.0,0.5848823855078352,0.1388190426795736,0.6698517951690909,0.13972121176101004,0.6842685470684874,0.46822344450721876,ROAM
46,46.0,47.0,0.0,1.0,1.0,1.0,0.5831838479067276,0.13528754056916387,0.6672739748719038,0.13612210135637146,0.6810167281491875,0.4637837840190243,ROAM
47,47.0,48.0,0.0,1.0,1.0,1.0,0.5814276757831367,0.13191227858396146,0.6646168087871608,0.13268549612512442,0.6777322062617357,0.45932094340439983,ROAM
48,48.0,49.0,0.0,1.0,1.0,1.0,0.5797059257520769,0.128714596216972,0.6620196713537418,0.12943257094671148,0.6745538048823028,0.4550228356811918,ROAM
