k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.6799999999999999,0.16,0.8291140383017661,0.16138669613152554,0.8446749399605222,0.7134757541973118,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6798103303408818,0.16397250834858573,0.8287613147631951,0.16546625623036668,0.8451179792188267,0.7142243987989132,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.67924252051618,0.16791990122036074,0.8277063840587038,0.16952543727766758,0.844888591528918,0.713836732095719,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6783001604024246,0.17181722192664525,0.8259589076261683,0.17353856374880913,0.8439927429753248,0.7123237501950126,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.676989207903667,0.17563983035111136,0.8235347958582444,0.1774801406715787,0.842442140637613,0.7097087603220837,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6753179512836924,0.17936355873253207,0.8204559280393947,0.18132501392481248,0.8402539440727534,0.7060266905298179,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6732969567649479,0.1829648644611489,0.8167497755787441,0.18504853183777883,0.8374503896012266,0.7013231550432463,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6709390017254818,0.186420978922631,0.8124489426026206,0.1886267072048362,0.8340583426877615,0.6956533190070553,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6682589939162459,0.18971005144858555,0.8075906403380848,0.1920363786919584,0.8301087959435192,0.6890806131027991,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.6652738772094938,0.19281128746351878,0.8022161130795362,0.1952553704699027,0.8256363314327793,0.6816753517817781,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.6620025244741655,0.1957050799548375,0.7963700338775578,0.1982626487705325,0.8206785660388908,0.67351330875565,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.6584656182555332,0.1983731334346954,0.7900998874974317,0.2010384739362045,0.8152755977128545,0.6646743002260522,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6546855200134909,0.20079857960995806,0.78345535680469,0.20356454642559124,0.8094694686443836,0.6552408206674207,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6506861287462054,0.20296608402898306,0.7764877267307841,0.205824145161018,0.8033036589576851,0.6452967684948048,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.6464927298929547,0.2048619430309606,0.7692493175580837,0.20780225655985346,0.7968226216636577,0.6349262903949445,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.6421318354714405,0.20647417038486937,0.7617929566433217,0.2094856925919957,0.7900713665183177,0.6242127641921218,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.6376310164602752,0.20779257307028803,0.7541714950568881,0.21086319625163455,0.7830950973475681,0.6132379314897972,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.6330187284863791,0.20880881572095256,0.7464373731055507,0.21192553292677324,0.7759389044731627,0.6020811834750119,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.6283241319193441,0.2095164733236251,0.7386422364441394,0.21266556629456723,0.7686475112472485,0.590818996546589,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.6235769075101892,0.20991107183909666,0.730836602544133,0.21307831756198162,0.7612650714654493,0.5795245090332957,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.6188070687400958,0.2099901164885033,0.7230695757139899,0.21316100710462638,0.7538350126341095,0.5682672262730679,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.6140447720655163,0.20975310752612136,0.7153886076661204,0.2129130778246146,0.7463999187347362,0.5571128386872208,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.609320126259347,0.20920154339892105,0.7078392997825688,0.21233619984161975,0.7390014452488287,0.5461231360798576,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.4554969079827009,0.20833891127290186,0.49161450891137914,0.21143425643922642,0.5351535015004434,0.28638927016818505,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.12505142164343797,0.20717066498610673,0.1257094523416025,0.21021331149954928,0.24493367008157976,0.059992502739632164,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,-0.2022392998826218,0.20570419056770173,-0.20506625105125317,0.2086815589611312,0.2925750508342495,0.08560016037066369,DENY
26,26.0,27.0,0.0,1.0,1.0,1.0,-0.35,0.20394875954112168,-0.36544375427139614,0.20684925511706012,0.41992350717536064,0.17633575187845515,DENY
27,27.0,28.0,0.0,1.0,1.0,1.0,-0.35,0.20191547030651386,-0.36544375427139614,0.20472863482195913,0.4188829806187352,0.1754629514520357,DENY
28,28.0,29.0,0.0,1.0,1.0,1.0,-0.35,0.1996171779730787,-0.36544375427139614,0.20233381288967592,0.41771773887931424,0.17448810937444695,DENY
29,29.0,30.0,0.0,1.0,1.0,1.0,-0.35,0.1970684130849309,-0.36544375427139614,0.19968067213197238,0.4164390812100238,0.17342150835904882,DENY
30,30.0,31.0,0.0,1.0,1.0,1.0,-0.35,0.1942852897543207,-0.36544375427139614,0.19678673960859117,0.4150592227884498,0.172274158421752,DENY
31,31.0,32.0,0.0,1.0,1.0,1.0,-0.35,0.191285403783028,-0.36544375427139614,0.19367105272962967,0.4135911195871782,0.17105761420137555,DENY
32,32.0,33.0,0.0,1.0,1.0,1.0,-0.35,0.18808772141603855,-0.36544375427139614,0.1903540168735182,0.41204828512670233,0.1697837892758562,DENY
33,33.0,34.0,0.0,1.0,1.0,1.0,-0.35,0.18471245943083614,-0.36544375427139614,0.1868572561616878,0.4104446024937436,0.16846477171624719,DENY
34,34.0,35.0,0.0,1.0,1.0,1.0,-0.35,0.18118095732042638,-0.36544375427139614,0.18320345896972764,0.4087941351272609,0.16711264491444527,DENY
35,35.0,36.0,0.0,1.0,1.0,1.0,-0.35,0.17751554237819123,-0.36544375427139614,0.17941621966141932,0.4071109399335361,0.16573931741356723,DENY
36,36.0,37.0,0.0,1.0,1.0,1.0,-0.35,0.17373938853755128,-0.36544375427139614,0.17551987791441967,0.4054088862852729,0.16435636507906531,DENY
37,37.0,38.0,0.0,1.0,1.0,1.0,-0.35,0.16987636985889765,-0.36544375427139614,0.17153935687288777,0.40370148438213166,0.1629748884923365,DENY
38,38.0,39.0,0.0,1.0,1.0,1.0,-0.35,0.16595090959009526,-0.36544375427139614,0.16750000122133135,0.40200172629619213,0.16160538794511858,DENY
39,39.0,40.0,0.0,1.0,1.0,1.0,-0.35,0.1619878257548463,-0.36544375427139614,0.16342741613319697,0.40032194279098127,0.16025765787994567,DENY
40,40.0,41.0,0.0,1.0,1.0,1.0,-0.35,0.1580121742451537,-0.36544375427139614,0.159347307914206,0.39867367868405523,0.1589407020754773,DENY
41,41.0,42.0,0.0,1.0,1.0,1.0,-0.35,0.1540490904099048,-0.36544375427139614,0.15528532703995213,0.3970675891203882,0.15766267032987744,DENY
42,42.0,43.0,0.0,1.0,1.0,1.0,-0.35,0.15012363014110236,-0.36544375427139614,0.1512669141842828,0.3955133586401447,0.15643081686280771,DENY
43,43.0,44.0,0.0,1.0,1.0,1.0,-0.35,0.14626061146244873,-0.36544375427139614,0.1473171497524813,0.39401964436708936,0.15525148014716758,DENY
44,44.0,45.0,0.0,1.0,1.0,1.0,-0.35,0.14248445762180884,-0.36544375427139614,0.14346060737274824,0.3925940440247793,0.15413008340373036,DENY
45,45.0,46.0,0.0,1.0,1.0,1.0,-0.35,0.1388190426795736,-0.36544375427139614,0.13972121176101004,0.39124308882322456,0.1530711545519376,DENY
46,46.0,47.0,0.0,1.0,1.0,1.0,-0.35,0.13528754056916387,-0.36544375427139614,0.13612210135637146,0.3899722605694498,0.15207836401364683,DENY
47,47.0,48.0,0.0,1.0,1.0,1.0,-0.35,0.13191227858396146,-0.36544375427139614,0.13268549612512442,0.38878603166516024,0.15115457841794297,DENY
48,48.0,49.0,0.0,1.0,1.0,1.0,-0.35,0.128714596216972,-0.36544375427139614,0.12943257094671148,0.3876879259892524,0.15030192795784805,DENY
49,49.0,50.0,0.0,1.0,1.0,1.0,-0.35,0.12571471024567935,-0.36544375427139614,0.1263833350212598,0.3866805980484003,0.14952188490706853,DENY
50,50.0,51.0,0.0,1.0,1.0,1.0,-0.35,0.12293158691506909,-0.36544375427139614,0.12355651777064298,0.38576592724031467,0.14881535061957976,DENY
51,51.0,52.0,0.0,1.0,1.0,1.0,-0.35,0.1203828220269213,-0.36544375427139614,0.12096946173867427,0.3849451236336384,0.14818274820931718,DENY
52,52.0,53.0,0.0,1.0,1.0,1.0,-0.35,0.11808452969348615,-0.36544375427139614,0.11863802302624848,0.38421884134377016,0.14762411804354922,DENY
53,53.0,54.0,0.0,1.0,1.0,1.0,-0.35,0.11605124045887832,-0.36544375427139614,0.11657647981962481,0.38358729538803543,0.14713921318310794,DENY
54,54.0,55.0,0.0,1.0,1.0,1.0,-0.2022392998826218,0.11429580943229828,-0.20506625105125317,0.11479744958074665,0.23501196086680282,0.05523062175045966,DENY
55,55.0,56.0,0.0,1.0,1.0,1.0,0.12505142164343797,0.11282933501389326,0.1257094523416025,0.11331181546448249,0.1692407573011967,0.028642433931882563,ROAM
56,56.0,57.0,0.0,1.0,1.0,1.0,0.4554969079827009,0.11166108872709815,0.49161450891137914,0.11212866250682746,0.5042396873786775,0.25425766232774644,ROAM
57,57.0,58.0,0.0,1.0,1.0,1.0,0.609320126259347,0.11079845660107898,0.7078392997825688,0.1112552240893921,0.7165292730962624,0.5134141992038581,ROAM
58,58.0,59.0,0.0,1.0,1.0,1.0,0.6140447720655163,0.11024689247387862,0.7153886076661204,0.11069683912897772,0.723902376133424,0.5240346501716173,ROAM
59,59.0,60.0,0.0,1.0,1.0,1.0,0.6188070687400957,0.11000988351149672,0.7230695757139897,0.110456920367862,0.7314576833832298,0.5350303425803613,ROAM
60,60.0,61.0,0.0,1.0,1.0,1.0,0.6235769075101891,0.11008892816090335,0.7308366025441327,0.11053693405278668,0.73914853271047,0.5463405534080407,ROAM
61,61.0,62.0,0.0,1.0,1.0,1.0,0.6283241319193441,0.1104835266763749,0.7386422364441394,0.1109363911916316,0.7469265267413006,0.5578992363498227,ROAM
62,62.0,63.0,0.0,1.0,1.0,1.0,0.6330187284863791,0.11119118427904745,0.7464373731055507,0.11165285047015872,0.7547417511883298,0.5696351109868266,ROAM
63,63.0,64.0,0.0,1.0,1.0,1.0,0.6376310164602752,0.11220742692971196,0.7541714950568881,0.11268193280127173,0.762543023006684,0.5814718619361722,ROAM
64,64.0,65.0,0.0,1.0,1.0,1.0,0.6421318354714405,0.11352582961513065,0.7617929566433217,0.11401734737041519,0.7702781733197168,0.5933284642927596,ROAM
65,65.0,66.0,0.0,1.0,1.0,1.0,0.6464927298929547,0.11513805696903938,0.7692493175580837,0.11565092893742714,0.7778943693893582,0.6051196499276672,ROAM
66,66.0,67.0,0.0,1.0,1.0,1.0,0.6506861287462054,0.11703391597101695,0.7764877267307841,0.11757268606140261,0.7853384787919373,0.6167565262712341,ROAM
67,67.0,68.0,0.0,1.0,1.0,1.0,0.6546855200134909,0.11920142039004195,0.78345535680469,0.11977085983439002,0.7925574773929227,0.6281473549714331,ROAM
68,68.0,69.0,0.0,1.0,1.0,1.0,0.6584656182555332,0.12162686656530461,0.7900998874974317,0.1222319926446796,0.799498900718033,0.6391984922493431,ROAM
69,69.0,70.0,0.0,1.0,1.0,1.0,0.6620025244741655,0.12429492004516252,0.7963700338775578,0.12494100644274249,0.8061113359512245,0.649815485949068,ROAM
70,70.0,71.0,0.0,1.0,1.0,1.0,0.6652738772094938,0.12718871253648123,0.8022161130795362,0.1278812899531652,0.8123449491469278,0.6599043164045247,ROAM
71,71.0,72.0,0.0,1.0,1.0,1.0,0.6682589939162459,0.1302899485514145,0.8075906403380848,0.13103479426369402,0.8181520394580745,0.6693727596694067,ROAM
72,72.0,73.0,0.0,1.0,1.0,1.0,0.6709390017254818,0.13357902107736902,0.8124489426026206,0.1343821362261748,0.8234876094227687,0.6781318428728264,ROAM
73,73.0,74.0,0.0,1.0,1.0,1.0,0.6732969567649479,0.1370351355388511,0.8167497755787441,0.13790270912114877,0.8283099378197034,0.6860973530908809,ROAM
74,74.0,75.0,0.0,1.0,1.0,1.0,0.6753179512836924,0.14063644126746797,0.8204559280393947,0.14157480006467796,0.8325811395103411,0.6931913538683381,ROAM
75,75.0,76.0,0.0,1.0,1.0,1.0,0.6769892079036669,0.14436016964888862,0.8235347958582442,0.14537571366848243,0.8362676952471024,0.6993436581139005,ROAM
76,76.0,77.0,0.0,1.0,1.0,1.0,0.6783001604024246,0.14818277807335475,0.8259589076261683,0.1492819014980688,0.8393409338295686,0.7044932032018923,ROAM
77,77.0,78.0,0.0,1.0,1.0,1.0,0.6792425205161801,0.15208009877963927,0.827706384058704,0.1532690969034026,0.8417774493754981,0.7085892742771194,ROAM
78,78.0,79.0,0.0,1.0,1.0,1.0,0.6798103303408818,0.15602749165141425,0.8287613147631951,0.1573124548180868,0.8435594379111128,0.7115925252889125,ROAM
79,79.0,80.0,0.0,1.0,1.0,1.0,0.6799999999999999,0.16,0.8291140383017661,0.16138669613152554,0.8446749399605222,0.7134757541973118,ROAM
