k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.16,0.7089213594274084,0.16138669613152554,0.7270592544907561,0.5286151595406541,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6098419419507348,0.16397250834858573,0.7086696731936589,0.16546625623036668,0.727730573533434,0.5295917876553007,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.6093687670968168,0.16791990122036074,0.7079166671886024,0.16952543727766758,0.727931920970363,0.5298848815676027,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6085834670020206,0.17181722192664525,0.7066684708989082,0.17353856374880913,0.7276647310888446,0.5294959608706005,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.6074910065863892,0.17563983035111136,0.7049352056609612,0.1774801406715787,0.726933865295231,0.528432844513065,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6060982927364104,0.17936355873253207,0.702730845928665,0.18132501392481248,0.725747478462344,0.5267094024944504,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6044141306374566,0.1829648644611489,0.7000730308413641,0.18504853183777883,0.7241168466806521,0.5243452076467311,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6024491681045683,0.186420978922631,0.6969828315096872,0.1886267072048362,0.7220561626980273,0.5213651020902,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6002158282635383,0.18971005144858555,0.6934844804834411,0.1920363786919584,0.7195823062113947,0.5177986954125094,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.5977282310079115,0.19281128746351878,0.6896050705917043,0.1952553704699027,0.7167145966722935,0.5136798130831284,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.5950021037284713,0.1957050799548375,0.6853742307341668,0.1982626487705325,0.7134745363725032,0.5090459140519584,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.5920546818796111,0.1983731334346954,0.6808237862606998,0.2010384739362045,0.7098855512974983,0.503937495940953,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.5889046000112425,0.20079857960995806,0.6759874113297908,0.20356454642559124,0.7059727366108471,0.49839750483780854,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.5855717739551711,0.20296608402898306,0.670900280128804,0.205824145161018,0.7017626127175567,0.49247076460817146,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.5820772749107956,0.2048619430309606,0.6655987231241782,0.20780225655985346,0.6972828967183289,0.4862034380559037,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.5784431962262004,0.20647417038486937,0.6601198936475814,0.2094856925919957,0.6925622927867516,0.4796425293900423,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.5746925137168961,0.8,0.6545014491753254,1.0986122886681098,1.2787967421702258,1.6353211077851828,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.570848940405316,0.20880881572095256,0.6487812506798932,0.21192553292677324,0.6825170640651143,0.4658295427400633,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.5669367765994535,0.2095164733236251,0.6429970824741688,0.21266556629456723,0.6772531957530226,0.4586718911576819,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.5629807562584911,0.20991107183909666,0.637186394071591,0.21307831756198162,0.6718696824570979,0.45140887020500153,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5590058906167465,0.2099901164885033,0.6313860647795282,0.21316100710462638,0.6663977624119375,0.4440859777476371,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.555037310054597,0.20975310752612136,0.6256321910489098,0.2129130778246146,0.6608688350840959,0.43674761718540994,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.5511001052161225,0.20920154339892105,0.619959896031312,0.21233619984161975,0.6553143783332817,0.42943693445033543,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.5472191683779764,0.20833891127290186,0.614403160347672,0.21143425643922642,0.6497658718655633,0.42219568824121567,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.5434190360723967,0.20717066498610673,0.6089946727462748,0.21021331149954928,0.6442547227339113,0.4150641477649489,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.5397237339593504,0.20570419056770173,0.6037656991122314,0.2086815589611312,0.6388121887338482,0.4080810124749296,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,0.5361566249285747,0.20394875954112168,0.5987459681734205,0.20684925511706012,0.6334692958197812,0.4012833487464094,ROAM
27,27.0,28.0,0.0,1.0,1.0,1.0,0.5327402613918667,0.20191547030651386,0.5939635722138976,0.20472863482195913,0.6282567461103439,0.3947065390331571,ROAM
28,28.0,29.0,0.0,1.0,1.0,1.0,0.5294962426994738,0.1996171779730787,0.5894448811393354,0.20233381288967592,0.6232048136366082,0.38838423973983954,ROAM
29,29.0,30.0,0.0,1.0,1.0,1.0,0.5264450785820483,0.1970684130849309,0.5852144683245846,0.19968067213197238,0.6183432256922545,0.3823483447595024,ROAM
30,30.0,31.0,0.0,1.0,1.0,1.0,0.5236060594815254,0.1942852897543207,0.5812950467962956,0.19678673960859117,0.6137010284460073,0.37662895231568705,ROAM
31,31.0,32.0,0.0,1.0,1.0,1.0,0.5209971345907395,0.191285403783028,0.5777074144504845,0.19367105272962967,0.6093064363491222,0.3712543333764669,ROAM
