k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.64,0.15,0.7581737446840442,0.1511404359364668,0.7730917529655141,0.5976708585032915,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6398735535605878,0.15317800667886858,0.757959603234529,0.1543931914135702,0.773524413118495,0.5983400176903121,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.6394950136774533,0.1563359209762886,0.7573188832988094,0.1576285956830199,0.773549394142324,0.5983786651779566,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6388667736016164,0.15945377754131618,0.7562566759103984,0.160826173216238,0.7731682985291266,0.5977892178504246,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.6379928052691113,0.1625118642808891,0.7547813927201474,0.16396562297455794,0.7723857043692616,0.5965796763140003,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6368786341891283,0.16549084698602565,0.7529046579984731,0.16702694692409445,0.7712090670075021,0.5947634250345819,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6355313045099653,0.1683718915689191,0.7506411615499345,0.1699905785952963,0.7696485887885448,0.5923589502241985,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6339593344836545,0.17113678313810476,0.7480084764079312,0.17283751091845867,0.767717061135548,0.5893894859586029,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6321726626108306,0.1737680411588684,0.7450268459547492,0.17554942249713293,0.765429683858915,0.5858826009323586,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.6301825848063292,0.176249029970815,0.7417189456775235,0.1781088014133159,0.7628038670050546,0.5818697395178651,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.628001682982777,0.17856406396386998,0.7381096251097468,0.18049906559543377,0.7598590207140241,0.5773857313604758,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.6256437455036888,0.1806985067477563,0.7342256356210436,0.18270467872660695,0.7566163384646925,0.5724682836317181,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6231236800089939,0.18263886368796645,0.730095349618578,0.18471126063064883,0.7530985787653812,0.5671574693384371,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6204574191641369,0.18437286722318644,0.7257484764361379,0.18650569105066475,0.7493298498282726,0.5614952238436615,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.6176618199286364,0.18588955442476848,0.7212157797442637,0.1880762057334565,0.7453354010881408,0.5555248601152197,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.6147545569809603,0.18717933630789546,0.71652880075424,0.18941248375500425,0.7411414246367215,0.5492906113125492,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.6117540109735168,0.18823405845623042,0.7117195908496089,0.19050572506997213,0.736774868792069,0.5428372072835704,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.6086791523242527,0.18904705257676202,0.7068204565993051,0.19134871734229067,0.7322632651552241,0.5362094894957901,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.6055494212795627,0.18961317865890007,0.7018637194214005,0.19193589121403418,0.7276345696681598,0.5294520669761681,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.6023846050067928,0.1899288574712773,0.6968814915056177,0.1922633632944377,0.7229170174151271,0.5226090140683832,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5992047124933971,0.18999209319080262,0.6919054689900684,0.1923289662971733,0.718138990234694,0.5157236092953059,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.5960298480436775,0.18980248602089708,0.6869667428405348,0.19213226591803423,0.7133288956545443,0.5088381133757317,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.592880084172898,0.18936123471913682,0.6820956274102469,0.19167456422211537,0.7085150552401241,0.5019935835019161,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.589775334702381,0.18867112901832148,0.6773215062699813,0.19095888949393394,0.7037256001685549,0.49522972033259277,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.5867352288579173,0.18773653198888537,0.6726726945930066,0.18998997268978554,0.6989883717013337,0.4885847437736818,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.5837789871674802,0.1865633524541614,0.668176317153535,0.18877421081300105,0.6943308242278552,0.48209529347293273,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,0.5809252999428597,0.18515900763289733,0.6638582008445555,0.1873196177039054,0.6897799286767538,0.4757963500053075,ROAM
27,27.0,28.0,0.0,1.0,1.0,1.0,0.5781922091134933,0.18353237624521107,0.6597427805328508,0.18563576289198325,0.6853620743298435,0.46972117292970594,ROAM
28,28.0,29.0,0.0,1.0,1.0,1.0,0.575596994159579,0.18169374237846297,0.6558530170361119,0.18373369929362837,0.6811029674076394,0.4639012522114919,ROAM
29,29.0,30.0,0.0,1.0,1.0,1.0,0.5731560628656385,0.17965473046794472,0.652210326019416,0.18162588065152938,0.677027525207651,0.4583662698887965,ROAM
30,30.0,31.0,0.0,1.0,1.0,1.0,0.5708848475852202,0.17742823180345654,0.6488345166561031,0.17932606969899925,0.6731597650469384,0.45314406927804934,ROAM
31,31.0,32.0,0.0,1.0,1.0,1.0,0.5687977076725915,0.1750283230264224,0.6457437389721191,0.1768492380934206,0.6695226877678722,0.44826062943591566,ROAM
32,32.0,33.0,0.0,1.0,1.0,1.0,0.5669078386982777,0.17247017713283083,0.6429544388848852,0.17421145919767406,0.6661381560889306,0.4437400429975604,ROAM
33,33.0,34.0,0.0,1.0,1.0,1.0,0.5652271890224166,0.16976996754466891,0.6404813200505766,0.17142979479832388,0.6630267685986174,0.43960449587832456,ROAM
34,34.0,35.0,0.0,1.0,1.0,1.0,0.5637663842533791,0.1669447658563411,0.6383373117414057,0.16852217683681292,0.6602077306780515,0.43587424764706256,ROAM
35,35.0,36.0,0.0,1.0,1.0,1.0,0.5625346600692509,0.16401243390255296,0.6365335420824604,0.16550728519813965,0.6576987240748622,0.4325676116497017,ROAM
36,36.0,37.0,0.0,1.0,1.0,1.0,0.5615398038269032,0.160991510830041,0.6350793160823703,0.16240442255419482,0.655515777217309,0.42970093418081273,ROAM
