k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.63,0.16,0.7414161440812689,0.16138669613152554,0.7587776778428489,0.5757435643925861,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6204114942843648,0.1615890033394343,0.72567380925113,0.16301787373847218,0.7437589021929472,0.5531773045912579,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.6106339184859381,0.1631679604881443,0.7099315670066855,0.16463959070101356,0.7287722721528072,0.5311090246587652,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6006690675429844,0.1647268887706581,0.6941932551283148,0.16624157879415236,0.7138210826149771,0.5095405379856179,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.5905199204075297,0.16625593214044454,0.6784639896521751,0.16781367823177168,0.6989097336970085,0.48847481585642333,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.5801906212114664,0.16774542349301283,0.6627500084278614,0.16934590244818296,0.6840435719653536,0.46791560834711987,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.5696864530660183,0.16918594578445956,0.6470585225461952,0.17082850222605897,0.6692287417411655,0.44786710877246366,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.5590138046602092,0.1705683915690524,0.631397575981689,0.1722520287521569,0.6544720470461566,0.4283336603647866,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.5481801298695154,0.17188402057943422,0.6157759136760993,0.17360739517508614,0.6397808245978567,0.40931950352311347,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.5371939006300633,0.1731245149854075,0.6002028581639407,0.17488593623507212,0.6251628281023922,0.3908285616409812,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.5260645533763233,0.174282031981935,0.584688194715174,0.1760794655347867,0.6106261239271583,0.3728642632223053,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.5148024293809311,0.17534925337387816,0.5692420648502999,0.17718033002342212,0.5961789980720906,0.35542939774224186,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.503418709373834,0.17631943184398322,0.5538748679733559,0.17818146127379275,0.5818298742022161,0.3385260025141666,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.4919253428541153,0.17718643361159322,0.5385971707720613,0.1790764231447938,0.5675872423601522,0.3221552776900022,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.48033497254141405,0.17794477721238425,0.5234196239537832,0.1798594554393588,0.553459597848716,0.30631752645086247,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.468660854444581,0.17858966815394775,0.5083528858222863,0.18052551319133528,0.5394553896633544,0.2910121174368415,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.45691677405292236,0.17911702922811523,0.4934075521537872,0.18107030124348364,0.5255829777635479,0.2762374665147981,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.4451169591798984,0.17952352628838103,0.47859409180140244,0.1814903038129717,0.5118505984028289,0.261991035085334,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.4332759900103049,0.17980658932945004,0.46392278744390353,0.18178280877998915,0.4982663366891881,0.2482693422776634,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.42140870691965154,0.17996442873563867,0.4494036808966344,0.18194592647896562,0.48483810552155776,0.2350679885657332,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.4095301166485289,0.1799960465954013,0.43504652241812447,0.18197860281971034,0.4715736300434085,0.22238168855231752,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.39765529742516326,0.17990124301044855,0.42086072347381004,0.18188062661681353,0.45848043677066913,0.21020431090142352,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.38579930363600257,0.17968061735956842,0.40685531245671364,0.18165263105896093,0.4455658465871156,0.19852892364489305,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.3739770706470389,0.17933556450916074,0.3930388929122885,0.18129608930442737,0.4328369708548431,0.18734784333879628,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.36220332037761516,0.1788682659944427,0.37941960386926826,0.18081330424388836,0.4203007099588405,0.17665268679190538,ROAM
