k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.15,0.9729550745276566,0.1511404359364668,0.984624298107752,0.9694850084241833,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.7494334800210137,0.15531467428236825,0.9716614273567121,0.15658193435763218,0.9841970491624434,0.9686438315800611,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.7477403389817867,0.16056913118148122,0.9678100199045946,0.1619708345125112,0.9812699862221462,0.9628907858604111,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.7449397608468382,0.16570383560109744,0.9614877819013781,0.16724594089783051,0.9759251812984603,0.9524299594924326,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.7410634772854914,0.17066060928841892,0.9528342268656242,0.17234701134924907,0.9682956966792892,0.9375965562076299,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.7361554081393806,0.175383290016942,0.9420340747060145,0.17721544661870664,0.9585580381111436,0.9188335124274846,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.7302711637930964,0.17981836792692507,0.9293081366449906,0.1817949809339672,0.946922926075489,0.896663027927366,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.7234774150863068,0.1839155918134808,0.9149033913610566,0.18603236559255648,0.933625329868425,0.8716562565719252,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.7158511379065039,0.18762853849280692,0.8990831318380228,0.1898780362627099,0.9189146568700765,0.8444041466106503,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.7074787410214407,0.19091513879540845,0.882117898357278,0.19328675338877568,0.9030458214497393,0.8154917556378345,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.6984550870332651,0.19373815422659807,0.8642776871950836,0.19621820407528212,0.8862716875731796,0.7854775041938118,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.688882417547332,0.19606559889352065,0.845825689211975,0.19863755319647133,0.8688371389799089,0.7548779740707935,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6788691947339621,0.19787110191810026,0.8270136071121796,0.20051593137089097,0.8509748204748684,0.7241581450822345,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6685288724087115,0.19913420622962605,0.8080784464374032,0.20183084794291697,0.8329024353296394,0.6937264667780441,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.6579786105553084,0.1998406003515375,0.7892405787592224,0.20256651826583424,0.8148213825634025,0.6639338854825347,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.6473379478562226,0.19998228055617262,0.7707028300391058,0.20271409636823073,0.7969164680797324,0.6350758570966751,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.6367274472716279,0.19955764155020037,0.7526503408821197,0.202271806431185,0.779356413527794,0.6073964193069058,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.6262673300128885,0.19857149466323548,0.7352509652467956,0.20124496927707908,0.7622949032727931,0.581093519555677,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.616076113388197,0.19703501333355167,0.7186560084240489,0.199645923097194,0.7458719414573237,0.5563249530533173,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.6062692679541145,0.19496560650856096,0.703001144864584,0.1974938407235359,0.730215329067152,0.5332144268046491,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5969579091880258,0.19238672139448354,0.6884073957486907,0.19481444867412073,0.7154421094216471,0.511857411933696,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.5882475385053808,0.18932757779013212,0.6749820815804786,0.1916396557799276,0.7016598664040612,0.492326568122165,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.5802368478865015,0.18582283701491575,0.6628196949193815,0.18800710128127365,0.6889677917763711,0.4746766181052091,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.5730166016570094,0.18191220918224102,0.6520026622126439,0.1839596337570649,0.6774574661072151,0.45894861838440854,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.5666686080917486,0.17764000326805968,0.6426019818385084,0.17954473307619911,0.6672133228872025,0.4451736182381823,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.5612647924943428,0.17305462507246627,0.6346777385231072,0.17481388774952478,0.6583127882146215,0.4333757271269091,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,0.5568663822547661,0.1682080287626411,0.6282795029789209,0.16982193967974707,0.6508261096944647,0.42357462506003146,ROAM
27,27.0,28.0,0.0,1.0,1.0,1.0,0.5535232131185485,0.16315512821137607,0.6234466306440767,0.16462640746420754,0.6448159080668087,0.415787555296023,ROAM
28,28.0,29.0,0.0,1.0,1.0,1.0,0.5512731645278656,0.1579531748009536,0.6202084754345504,0.15928679823768516,0.640336503015143,0.4100308370936622,ROAM
29,29.0,30.0,0.0,1.0,1.0,1.0,0.5501417304323238,0.15266110874210892,0.6185845340413645,0.15386391669690755,0.6374330793240063,0.4063209306164849,ROAM
30,30.0,31.0,0.0,1.0,1.0,1.0,0.5501417304323238,0.14733889125789107,0.6185845340413645,0.14841917856914405,0.636140769265979,0.4046750783223115,ROAM
31,31.0,32.0,0.0,1.0,1.0,1.0,0.5512731645278656,0.1420468251990464,0.6202084754345504,0.14301393450099564,0.636483729927407,0.40511153846230435,ROAM
32,32.0,33.0,0.0,1.0,1.0,1.0,0.5535232131185484,0.13684487178862395,0.6234466306440766,0.13770880925043993,0.6384742887592465,0.4076494174066257,ROAM
33,33.0,34.0,0.0,1.0,1.0,1.0,0.5568663822547661,0.1317919712373589,0.6282795029789209,0.1325630602324705,0.6421122166737193,0.41230809880163743,ROAM
