k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2,0.6931471805599455,0.2027325540540822,0.7221866118888477,0.5215535023914931,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.5997167400105069,0.20531467428236827,0.6927047042998099,0.20827486636298354,0.7233382523533549,0.5232182273176058,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.5988701694908933,0.21056913118148124,0.6913836864807537,0.21376680886943403,0.7236764819350827,0.5237076505059381,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.5974698804234191,0.21570383560109746,0.6892032032869203,0.21914588344134753,0.7232053468070052,0.5230259736502407,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.5955317386427457,0.2206606092884189,0.686194534294062,0.2243504241775722,0.7219390914223313,0.5211960517237012,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.5930777040696904,0.22538329001694202,0.6824004195223069,0.2293203122990958,0.719901478118482,0.5182581381971753,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.5901355818965482,0.2298183679269251,0.6778740728776482,0.23399769813504534,0.7171249412844536,0.514268181412231,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.5867387075431534,0.23391559181348082,0.6726779995716075,0.23832772145251696,0.7136496296645911,0.509295793920408,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.582925568953252,0.23762853849280693,0.6668826711024128,0.24225921966963102,0.7095223932559335,0.5034220265316275,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.5787393705107204,0.24091513879540846,0.66056511311668,0.24574541190899843,0.7047957690999397,0.4967370761411755,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.5742275435166325,0.24373815422659809,0.6538074592670494,0.24874454556627665,0.6995270135900457,0.48933804274220793,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.5694412087736661,0.24606559889352067,0.6466955187403234,0.2512204912552827,0.6937772186987415,0.48132682918536146,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.5644345973669811,0.2478711019181003,0.639317397390294,0.25314327179531715,0.6876105370492347,0.47280825066113696,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.5592644362043557,0.24913420622962607,0.6317622033876338,0.25448951143557663,0.6810935273954059,0.46388839305991647,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.5539893052776542,0.24984060035153752,0.6241188589562737,0.2552427928165916,0.6742946191315,0.4546732333896947,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.5486689739281113,0.24998228055617264,0.6164750309040661,0.2553939112322196,0.6672836830184447,0.4452675136226601,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.543363723635814,0.24955764155020038,0.6089161848634914,0.2549410184886781,0.6601316861784126,0.43577384309675415,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.5381336650064443,0.24857149466323553,0.6015247617952889,0.2538896519033229,0.6529104030389389,0.4262919943964696,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.5330380566940985,0.24703501333355168,0.5943794705227919,0.2522526475360757,0.6456921504617461,0.41691835316791415,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.5281346339770573,0.24496560650856097,0.5875546868333883,0.25004994035906897,0.6385495146763913,0.4077454826934549,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.523478954594013,0.24238672139448356,0.5811199478567701,0.2473082574970195,0.6315550395834613,0.39886176802326734,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.4970992015855095,0.23932757779013214,0.5454458591754108,0.24406071368368878,0.5975590491787347,0.3570768172553935,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.42917607141197717,0.23582283701491577,0.4588862887489658,0.24034632049360885,0.5180183199237415,0.26834297977661575,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.32601166436011764,0.23191220918224104,0.3383590813842589,0.2362094225992466,0.4126521044171094,0.17028175927986897,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.19739195151460065,0.2276400032680597,0.20001730551785954,0.23169907521864128,0.30609048329505173,0.09369138396379834,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.055632396247171534,0.22305462507246632,0.055689896473821894,0.22686837707501523,0.23360356394095594,0.05457062508591629,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,-0.08562445634134319,0.21820802876264112,-0.08583463493651021,0.22177377266893492,0.23780494275455338,0.05655119079849641,DENY
27,27.0,28.0,0.0,1.0,1.0,1.0,-0.21274175697233855,0.21315512821137608,-0.21604132977164278,0.21647433659543092,0.3058349139224161,0.09353499457393165,DENY
