k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.64,0.15,0.7581737446840442,0.1511404359364668,0.7730917529655141,0.5976708585032915,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6397733920084054,0.15425173942589462,0.7577900178020202,0.1554929086844999,0.7735785388256012,0.5984237557315523,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.6390961355927146,0.15845530494518498,0.7566443063829719,0.15980181862355802,0.7733351327963609,0.5980472276171651,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6379759043387352,0.16256306848087795,0.7547528908390723,0.16401821661588503,0.772369019065234,0.5965539016117919,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.6364253909141965,0.16652848743073512,0.7521424871960649,0.16809399446215958,0.7706970299798276,0.5939739120197273,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6344621632557522,0.1703066320135536,0.7488496413707617,0.17198243786393536,0.76834480821747,0.5903537443147407,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6321084655172385,0.17385469434154005,0.7449199217796645,0.17563877505564696,0.7653461107023866,0.5857546691672697,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6293909660345227,0.17713247345078464,0.7404069466813707,0.17902071454321639,0.7617419923632895,0.5802508629295938,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6263404551626015,0.18010283079424552,0.7353712876489781,0.1820889647083483,0.7575799111427614,0.5739273217670742,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.6229914964085762,0.18273211103632675,0.7298792924669752,0.18480772746188867,0.7529127955492058,0.5668776777017202,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.619382034813306,0.18499052338127844,0.7240018697175191,0.18714515773218013,0.7477981127397061,0.5592020174170662,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.6155529670189328,0.1868524791148165,0.7178132738057478,0.1890737804265854,0.7422969692087703,0.5510047904965261,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6115476778935848,0.1882968815344802,0.7113899237979503,0.19057085666515897,0.7364732684160004,0.5423928750913461,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6074115489634846,0.18930736498370082,0.7048092829156887,0.19161869159390352,0.7303929409929198,0.5334738482522869,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.6031914442221233,0.18987248028123,0.6981488185350162,0.19220487695454047,0.7241232543890225,0.5243544875469489,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.598935179142489,0.1899858244449381,0.6914850556865858,0.19232246280243429,0.7177322007101774,0.5151395119362744,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.5946909789086511,0.18964611324016029,0.6848927308091818,0.19197005427869496,0.7112879546674634,0.5059305544550234,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.5905069320051554,0.1888571957305884,0.678444047192242,0.19115183108401942,0.7048583883996576,0.49682534769736264,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.5864304453552788,0.18762801066684132,0.672208029319037,0.18987748917693456,0.698510626674441,0.48791709557712026,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.5825077071816458,0.18597248520684878,0.6662499702291192,0.18816210612157105,0.6923106246551527,0.4792940010104077,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5787831636752103,0.18390937711558683,0.6606309639943986,0.1860259333311258,0.6863227509414829,0.4710389184598847,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.5752990154021523,0.1814620622321057,0.6554075143177299,0.1834941200916849,0.6806093607440079,0.4632291019323671,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.5720947391546006,0.1786582696119326,0.6506312099481817,0.1805963756231083,0.6752303475458118,0.45593602224683777,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.5692066406628037,0.17552976734579281,0.6463484578821168,0.17736657647964205,0.6702426660984059,0.4492252314586992,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.5666674432366994,0.17211200261444773,0.6426002660088477,0.173842327281997,0.665699824717915,0.44315625662946273,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.5645059169977371,0.16844370005797302,0.6394220678079248,0.17006448310387695,0.6616513501937038,0.43778250921315126,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,0.5627465529019064,0.16456642301011287,0.6368435827828681,0.166076641836176,0.6581422337878806,0.4331511998953013,ROAM
27,27.0,28.0,0.0,1.0,1.0,1.0,0.5614092852474193,0.16052410256910085,0.6348887074242119,0.1619246145711411,0.6552123713871703,0.4293032516187991,ROAM
28,28.0,29.0,0.0,1.0,1.0,1.0,0.5605092658111462,0.15636253984076287,0.6335754325644241,0.15765588155281646,0.6528960144903572,0.4262732057373927,ROAM
29,29.0,30.0,0.0,1.0,1.0,1.0,0.5600566921729295,0.15212888699368715,0.6329157839781762,0.15331904060376325,0.6512212510509525,0.42408911782036773,ROAM
30,30.0,31.0,0.0,1.0,1.0,1.0,0.5600566921729295,0.98,0.6329157839781762,2.2975599250672945,2.383141623757166,5.679363998883942,SPIKE
31,31.0,32.0,0.0,1.0,1.0,1.0,0.5605092658111462,0.14363746015923712,0.6335754325644241,0.14463770096444503,0.6498752905669497,0.4223378932894773,SPIKE
32,32.0,33.0,0.0,1.0,1.0,1.0,0.5614092852474193,0.13947589743089917,0.6348887074242119,0.14039103568140784,0.6502255867885275,0.4227933137144849,ROAM
33,33.0,34.0,0.0,1.0,1.0,1.0,0.5627465529019064,0.13543357698988712,0.6368435827828681,0.13627086346832984,0.6512599305669926,0.424139497162124,ROAM
