k,x,x_next,r,dx_raw,dx,dx_perm,a,s,u,v,R,Psi,event
0,0.0,1.0,0.0,0.0,0.0,0.0,0.62,0.12,0.7250050877529992,0.12058102840844402,0.7349640546855145,0.540172161679772,ROAM
1,1.0,2.0,0.0,1.0,1.0,1.0,0.6198866960042028,0.12,0.724821054177629,0.12058102840844402,0.7347825154365115,0.5399053449912072,ROAM
2,2.0,3.0,0.0,1.0,1.0,1.0,0.6195480677963573,0.12,0.7242712887345358,0.12058102840844402,0.7342402087172993,0.5391086840972233,ROAM
3,3.0,4.0,0.0,1.0,1.0,1.0,0.6189879521693676,0.12,0.7233627579472325,0.12058102840844402,0.7333440284048575,0.5377934639970644,ROAM
4,4.0,5.0,0.0,1.0,1.0,1.0,0.6182126954570982,0.12,0.7221069428066514,0.12058102840844402,0.732105334812967,0.5359782212616065,ROAM
5,5.0,6.0,0.0,1.0,1.0,1.0,0.6172310816278761,0.12,0.7205196480917779,0.12058102840844402,0.7305397646249912,0.5336883476983375,ROAM
6,6.0,7.0,0.0,1.0,1.0,1.0,0.6160542327586193,0.12,0.7186207434609357,0.12058102840844402,0.7286669728650983,0.5309555573443859,ROAM
7,7.0,8.0,0.0,1.0,1.0,1.0,0.6146954830172613,0.12,0.7164338438098097,0.12058102840844402,0.7265103144265309,0.5278172369681368,ROAM
8,8.0,9.0,0.0,1.0,1.0,1.0,0.6131702275813008,0.12,0.71398593780765,0.12058102840844402,0.7240964740965857,0.5243157037991074,ROAM
9,9.0,10.0,0.0,1.0,1.0,1.0,0.6114957482042881,0.12,0.7113069744811664,0.12058102840844402,0.7214550549809661,0.5204973963575887,ROAM
10,10.0,11.0,0.0,1.0,1.0,1.0,0.609691017406653,0.12,0.7084294181987197,0.12058102840844402,0.7186181357170264,0.5164120249814146,ROAM
11,11.0,12.0,0.0,1.0,1.0,1.0,0.6077764835094663,0.12,0.7053877824323037,0.12058102840844402,0.7156198068924595,0.5121117080168011,ROAM
12,12.0,13.0,0.0,1.0,1.0,1.0,0.6057738389467924,0.12,0.7022181522878425,0.12058102840844402,0.7124956966989973,0.5076501178145895,ROAM
13,13.0,14.0,0.0,1.0,1.0,1.0,0.6037057744817422,0.12,0.6989577050642194,0.12058102840844402,0.7092824951179031,0.5030816578806783,ROAM
14,14.0,15.0,0.0,1.0,1.0,1.0,0.6015957221110616,0.12,0.6956442371109897,0.12058102840844402,0.7060174849377094,0.4984606890377688,ROAM
15,15.0,16.0,0.0,1.0,1.0,1.0,0.5994675895712445,0.12,0.692315704092126,0.12058102840844402,0.7027380867326134,0.4938408185446141,ROAM
16,16.0,17.0,0.0,1.0,1.0,1.0,0.5973454894543255,0.12,0.6890097805144252,0.12058102840844402,0.699481423667973,0.48927426205657426,ROAM
17,17.0,18.0,0.0,1.0,1.0,1.0,0.5952534660025777,0.12,0.6857634431219453,0.12058102840844402,0.6962839107250026,0.48481128433450343,ROAM
18,18.0,19.0,0.0,1.0,1.0,1.0,0.5932152226776394,0.12,0.6826125815568926,0.12058102840844402,0.6931808717151703,0.4804997209118034,ROAM
19,19.0,20.0,0.0,1.0,1.0,1.0,0.5912538535908228,0.12,0.6795916385924696,0.12058102840844402,0.6902061863362541,0.4763845796568359,ROAM
20,20.0,21.0,0.0,1.0,1.0,1.0,0.5893915818376051,0.12,0.6767332812883209,0.12058102840844402,0.6873919685414542,0.4725077184152956,ROAM
21,21.0,22.0,0.0,1.0,1.0,1.0,0.563177765848653,0.12,0.6374748661031331,0.12058102840844402,0.6487788446961302,0.4209139893252455,ROAM
22,22.0,23.0,0.0,1.0,1.0,1.0,0.49055586676477403,0.12,0.5367920989181619,0.12058102840844402,0.5501686485733295,0.3026855418730037,ROAM
23,23.0,24.0,0.0,1.0,1.0,1.0,0.3784959464776384,0.12,0.39830292841944165,0.12058102840844402,0.4161550278436401,0.17318500719954089,ROAM
24,24.0,25.0,0.0,1.0,1.0,1.0,0.23784221880582346,0.12,0.24248570023741803,0.12058102840844402,0.27081192594062203,0.07333909923166895,ROAM
25,25.0,26.0,0.0,1.0,1.0,1.0,0.08225295849886854,0.12,0.08243921062292227,0.12058102840844402,0.1460685039978452,0.021336007860168524,ROAM
26,26.0,27.0,0.0,1.0,1.0,1.0,-0.07313522073652057,0.12,-0.07326603507082213,0.12058102840844402,0.1410946359966846,0.019907696307036923,DENY
27,27.0,28.0,0.0,1.0,1.0,1.0,-0.21318798352252677,0.12,-0.2165087559968893,0.12058102840844402,0.2478221657466469,0.061415825835358526,DENY
